,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,2.0,0.24,0.2424,0.7,0.1642,3.0,36.0,39.0
1,4.0,0.0,9.0,1.0,0.0,2.0,1.0,1.0,0.62,0.5455,0.94,0.1642,4.0,6.0,10.0
2,3.0,0.0,7.0,17.0,0.0,1.0,1.0,1.0,0.84,0.7879,0.49,0.3284,72.0,473.0,545.0
3,2.0,1.0,5.0,16.0,0.0,0.0,0.0,1.0,0.72,0.6515,0.42,0.3582,238.0,339.0,577.0
4,1.0,1.0,1.0,5.0,0.0,6.0,0.0,1.0,0.26,0.2727,0.75,0.1045,2.0,7.0,9.0
5,3.0,1.0,7.0,13.0,0.0,5.0,1.0,2.0,0.8,0.7121,0.38,0.1343,100.0,274.0,374.0
6,1.0,0.0,3.0,1.0,0.0,6.0,0.0,1.0,0.24,0.2273,0.65,0.194,3.0,15.0,18.0
7,3.0,1.0,8.0,5.0,0.0,4.0,1.0,2.0,0.66,0.5909,0.94,0.0,4.0,37.0,41.0
8,4.0,0.0,11.0,13.0,0.0,5.0,1.0,1.0,0.5,0.4848,0.45,0.2239,143.0,140.0,283.0
9,2.0,0.0,6.0,3.0,0.0,2.0,1.0,1.0,0.6,0.5909,0.73,0.0896,1.0,1.0,2.0
10,2.0,1.0,6.0,15.0,0.0,3.0,1.0,1.0,0.64,0.6212,0.38,0.0,75.0,225.0,300.0
11,2.0,1.0,4.0,7.0,0.0,3.0,1.0,2.0,0.5,0.4848,0.39,0.194,10.0,408.0,418.0
12,3.0,0.0,6.0,12.0,0.0,4.0,1.0,2.0,0.76,0.7273,0.66,0.2836,30.0,130.0,160.0
13,1.0,1.0,1.0,22.0,0.0,0.0,0.0,1.0,0.18,0.2121,0.37,0.0896,2.0,58.0,60.0
14,1.0,0.0,12.0,0.0,0.0,4.0,1.0,2.0,0.22,0.2273,0.47,0.194,4.0,24.0,28.0
15,4.0,0.0,9.0,5.0,0.0,0.0,0.0,1.0,0.6,0.5455,0.88,0.0896,1.0,2.0,3.0
16,3.0,0.0,9.0,10.0,0.0,4.0,1.0,1.0,0.68,0.6364,0.61,0.1343,46.0,92.0,138.0
17,3.0,0.0,7.0,18.0,0.0,6.0,0.0,1.0,0.82,0.7121,0.3,0.2836,193.0,190.0,383.0
18,2.0,0.0,5.0,10.0,0.0,2.0,1.0,2.0,0.56,0.5303,0.37,0.0896,27.0,100.0,127.0
19,1.0,0.0,1.0,21.0,0.0,2.0,1.0,3.0,0.16,0.197,0.86,0.0896,0.0,20.0,20.0
20,4.0,0.0,10.0,8.0,0.0,3.0,1.0,2.0,0.54,0.5152,0.88,0.3881,27.0,377.0,404.0
21,1.0,0.0,2.0,1.0,0.0,6.0,0.0,1.0,0.46,0.4545,0.14,0.4179,10.0,21.0,31.0
22,4.0,1.0,12.0,4.0,0.0,0.0,0.0,2.0,0.26,0.303,0.93,0.0,1.0,6.0,7.0
23,4.0,1.0,10.0,16.0,0.0,1.0,1.0,1.0,0.62,0.6212,0.33,0.1642,80.0,444.0,524.0
24,2.0,0.0,5.0,4.0,0.0,1.0,1.0,1.0,0.5,0.4848,1.0,0.1343,1.0,5.0,6.0
25,4.0,1.0,9.0,22.0,0.0,4.0,1.0,3.0,0.62,0.5758,0.83,0.2985,2.0,45.0,47.0
26,2.0,1.0,5.0,10.0,0.0,2.0,1.0,1.0,0.62,0.5909,0.78,0.1045,27.0,144.0,171.0
27,3.0,0.0,9.0,13.0,0.0,2.0,1.0,3.0,0.54,0.5152,0.88,0.2985,5.0,24.0,29.0
28,2.0,1.0,3.0,22.0,0.0,4.0,1.0,1.0,0.42,0.4242,0.44,0.2836,17.0,135.0,152.0
29,2.0,1.0,5.0,14.0,0.0,5.0,1.0,1.0,0.66,0.6212,0.34,0.1343,108.0,242.0,350.0
30,4.0,1.0,11.0,20.0,0.0,4.0,1.0,1.0,0.3,0.303,0.52,0.1642,11.0,241.0,252.0
31,1.0,1.0,1.0,13.0,0.0,6.0,0.0,1.0,0.44,0.4394,0.44,0.194,149.0,296.0,445.0
